Season,MatchID,DateUTC,Round,Home,Away,Side,Team,Formation,StarterNo,PlayerID,Player,FirstName,LastName,PositionID,UsualPlayingPositionID,ShirtNumber,Age,CountryName,CountryCode,IsCaptain,MarketValue,Rating,CanonicalURL
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,9,267374,Hernani,,Hernani,95,2,33,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,10,1257907,Yayah Kallon,Yayah,Kallon,114,2,91,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,11,25597,Goran Pandev,Goran,Pandev,116,3,19,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,1,538501,Guglielmo Vicario,Guglielmo,Vicario,11,0,13,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,2,311016,Petar Stojanovic,Petar,Stojanovic,32,1,30,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,3,750880,Ardian Ismajli,Ardian,Ismajli,34,1,34,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,4,111739,Simone Romagnoli,Simone,Romagnoli,36,1,6,,,,True,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,5,719946,Riccardo Marchizza,Riccardo,Marchizza,38,1,3,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,6,941656,Samuele Ricci,Samuele,Ricci,63,2,28,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,7,570830,Nicolas Haas,Nicolas,Haas,65,2,32,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,8,674829,Filippo Bandinelli,Filippo,Bandinelli,67,2,25,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,9,822794,Nedim Bajrami,Nedim,Bajrami,84,2,10,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,10,415404,Leonardo Mancuso,Leonardo,Mancuso,86,3,7,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Home,Empoli,4-3-2-1,11,639671,Patrick Cutrone,Patrick,Cutrone,115,3,9,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,1,30660,Pepe Reina,Pepe,Reina,11,0,25,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,2,662205,Manuel Lazzari,Manuel,Lazzari,32,1,29,,,,False,,,https://www.fotmob.com/match/3656993
